week_start,store_id,store_name,product_id,product_name,category,year,month,quarter,week_num,avg_price,lead_time_days,holding_cost_pct,base_price,is_promo_week,promo_days,stockout_days,is_festival_season,month_sin,month_cos,week_num_sin,week_num_cos,lag_1w,lag_2w,lag_3w,lag_4w,lag_8w,lag_12w,lag_26w,lag_52w,roll_mean_2w,roll_std_2w,roll_max_2w,roll_mean_4w,roll_std_4w,roll_max_4w,roll_mean_8w,roll_std_8w,roll_max_8w,roll_mean_12w,roll_std_12w,roll_max_12w,promo_x_festival,price_x_promo,demand_cv_4w,cat_Dairy,cat_Household,cat_Personal Care,cat_Ready Meals,cat_Snacks,cat_Staples,units_sold,predicted_units,horizon_week
2026-04-20,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,2026,4,2,17,55.0,2,0.25,55,0,0,0,0,0.8660254037844387,-0.4999999999999998,0.8854560256532099,-0.4647231720437685,128,860,901,838,757,952,919,887,494.0,517.6021638285528,860,681.75,370.0886155143567,901,677.875,245.3093891977464,901,731.8333333333334,215.07158779994134,952,0,0.0,0.5428509203835802,1,0,0,0,0,0,409,409,1
2026-04-27,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,2026,4,2,18,55.0,2,0.25,55,0,0,0,0,0.8660254037844387,-0.4999999999999998,0.8229838658936565,-0.5680647467311557,409,128,860,901,653,812,1112,855,268.5,198.69700551341987,409,574.5,371.8713935399352,901,634.375,259.70639328727685,901,686.5833333333334,221.56282028655738,901,0,0.0,0.6472957230507215,1,0,0,0,0,0,376,376,2
2026-05-04,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,2026,5,2,19,55.0,2,0.25,55,0,0,0,0,0.49999999999999994,-0.8660254037844387,0.7485107481711013,-0.663122658240795,376,409,128,860,665,778,1162,850,392.5,23.33452377915607,409,443.25,304.8271368059828,860,599.75,274.8899779911956,901,650.25,234.49796471301292,901,0,0.0,0.6877092749425234,1,0,0,0,0,0,366,366,3
2026-05-11,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,2026,5,2,20,55.0,2,0.25,55,0,0,0,0,0.49999999999999994,-0.8660254037844387,0.6631226582407952,-0.7485107481711012,366,376,409,128,621,817,1278,823,371.0,7.0710678118654755,376,319.75,129.14688020493048,409,562.375,284.8954382124883,901,615.9166666666666,244.0594034743231,901,0,0.0,0.40389954589845484,1,0,0,0,0,0,209,209,4
2026-05-18,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,2026,5,2,21,55.0,2,0.25,55,0,0,0,0,0.49999999999999994,-0.8660254037844387,0.5680647467311558,-0.8229838658936564,209,366,376,409,838,757,1025,775,287.5,111.01576464628796,366,340.0,89.2449811847516,409,510.875,309.0022827007686,901,565.25,261.0392255442221,901,0,0.0,0.26248523800666573,1,0,0,0,0,0,239,239,5
2026-05-25,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,2026,5,2,22,55.0,2,0.25,55,0,0,0,0,0.49999999999999994,-0.8660254037844387,0.46472317204376906,-0.8854560256532096,239,209,366,376,901,653,1127,676,224.0,21.213203435596427,239,297.5,85.84676270347454,376,436.0,290.4262876728423,901,522.0833333333334,269.1513458441123,901,0,0.0,0.28856054593248404,1,0,0,0,0,0,239,239,6
2026-06-01,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,2026,6,2,23,55.0,2,0.25,55,0,0,0,0,1.2246467991473532e-16,-1.0,0.35460488704253584,-0.9350162426854147,239,239,209,366,860,665,1027,976,239.0,0.0,239,263.25,69.94462095114963,366,353.25,226.22223586553113,860,487.5833333333333,277.2561855473065,901,0,0.0,0.2656965648070392,1,0,0,0,0,0,356,356,7
2026-06-08,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,2026,6,2,24,55.0,2,0.25,55,0,0,0,0,1.2246467991473532e-16,-1.0,0.23931566428755768,-0.970941817426052,356,239,239,209,128,621,1018,994,297.5,82.73149339882606,356,260.75,65.05574532660432,356,290.25,99.78226295289159,409,461.8333333333333,273.6058323851148,901,0,0.0,0.24949470787002728,1,0,0,0,0,0,322,322,8
2026-06-15,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,2026,6,2,25,55.0,2,0.25,55,0,0,0,0,1.2246467991473532e-16,-1.0,0.12053668025532308,-0.992708874098054,322,356,239,239,409,838,914,776,339.0,24.041630560342615,356,289.0,59.38013135721409,356,314.5,75.28422335200308,409,436.9166666666667,271.3988873606634,901,0,0.0,0.2054675818399533,1,0,0,0,0,0,176,176,9
2026-06-22,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,2026,6,2,26,55.0,2,0.25,55,0,0,0,0,1.2246467991473532e-16,-1.0,-3.216245299353273e-16,-1.0,176,322,356,239,376,901,1149,860,249.0,103.23759005323593,322,273.25,81.35262749290892,356,285.375,78.50375332246405,376,381.75,248.80080568416759,901,0,0.0,0.2977223319128512,1,0,0,0,0,0,300,300,10
2026-06-29,S001,Mumbai Central,P001,Whole Milk 1L,Dairy,2026,6,2,27,55.0,2,0.25,55,0,0,0,0,1.2246467991473532e-16,-1.0,-0.12053668025532283,-0.992708874098054,300,176,322,356,366,860,980,948,238.0,87.68124086713189,300,288.5,78.45805673521788,356,275.875,70.12119610258472,366,331.6666666666667,187.78194962791446,860,0,0.0,0.2719516688501428,1,0,0,0,0,0,342,342,11
